UniProt,Protein Name,Organism
A0A843XAH5,Antimicrobial peptide 1,Colocasia esculenta (Wild taro)
A0A833XMT0,Peamaclein-like,Juglans regia (English walnut)
A0A822XRI8,Antimicrobial peptide 1,Nelumbo nucifera (Sacred lotus)
A0A1D1XUJ9,Antimicrobial peptide 1,Anthurium amnicola (None)
A0A2G2WBK9,Defensin SD2,Capsicum baccatum (Peruvian pepper)
K3YK47,Uncharacterized protein,Setaria italica (Foxtail millet)
A5YRZ4,Cyclotide 7,Viola baoshanensis (None)
Q5ZFP2,Defensin,Plantago major (Common plantain)
A0A0A8ZJ96,Knottin scorpion toxin-like domain-containing protein,Arundo donax (Giant reed)
Q3YMR2,Non-specific lipid-transfer protein 2,Solanum chilense (Tomato)
M0ZNZ5,Non-specific lipid-transfer protein,Solanum tuberosum (Potato)
Q9ZNY5,Purothionin,Secale cereale (Rye)
A0A1S3ZTD0,Non-specific lipid-transfer protein,Nicotiana tabacum (Common tobacco)
A0A452ZWS3,Uncharacterized protein,Aegilops tauschii subsp. strangulata (Goatgrass)
A0A0B2QC89,Defensin-like protein,Glycine soja (Wild soybean)
A0A452ZWU1,Uncharacterized protein,Aegilops tauschii subsp. strangulata (Goatgrass)
D9YTF1,PCP17C2,Arabidopsis halleri (None)
A0A161ZK83,Knottin scorpion toxin-like domain-containing protein,Daucus carota subsp. sativus (Carrot)
